Idade	Genero	Estado_civil	Renda_mensal	Refeicao_mais_frequente	Avaliacao_media_anterior	Influenciado_por_nota
24	Masculino	Casado	Até 5.000	Café da manhã	>= 4,5	1
20	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
26	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
34	Feminino	Outros	Mais de 5.000	Lanches	< 4,5	0
29	Masculino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	0
22	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
21	Masculino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	1
26	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
47	Masculino	Solteiro	Até 5.000	Jantar	>= 4,5	1
25	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	1
29	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
28	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
24	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	1
32	Feminino	Casado	Mais de 5.000	Almoço	>= 4,5	1
30	Feminino	Solteiro	Até 5.000	Almoço	< 4,5	0
27	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	1
20	Masculino	Casado	Até 5.000	Lanches	>= 4,5	1
32	Feminino	Outros	Mais de 5.000	Almoço	>= 4,5	1
21	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	0
28	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
24	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
28	Feminino	Casado	Até 5.000	Lanches	>= 4,5	0
36	Masculino	Outros	Até 5.000	Café da manhã	>= 4,5	1
32	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
24	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
25	Feminino	Solteiro	Até 5.000	Almoço	>= 4,5	1
21	Masculino	Casado	Mais de 5.000	Almoço	< 4,5	0
37	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
30	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
25	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
18	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
28	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
31	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
30	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
35	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
27	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
22	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
23	Masculino	Solteiro	Até 5.000	Almoço	< 4,5	0
23	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	0
19	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
38	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
18	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	1
25	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
32	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
21	Masculino	Solteiro	Até 5.000	Jantar	>= 4,5	0
46	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
25	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
28	Feminino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	1
23	Masculino	Casado	Até 5.000	Café da manhã	>= 4,5	1
24	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	1
22	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
43	Masculino	Outros	Mais de 5.000	Jantar	>= 4,5	0
23	Masculino	Casado	Mais de 5.000	Almoço	< 4,5	0
40	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
33	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	0
23	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
30	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	0
25	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
26	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	1
19	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
28	Feminino	Casado	Mais de 5.000	Café da manhã	< 4,5	0
21	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
29	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	1
27	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	0
20	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
28	Masculino	Solteiro	Até 5.000	Almoço	< 4,5	0
25	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
25	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	0
42	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
18	Feminino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	1
22	Feminino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
46	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
38	Masculino	Casado	Até 5.000	Café da manhã	>= 4,5	1
30	Feminino	Outros	Mais de 5.000	Lanches	>= 4,5	1
21	Feminino	Casado	Mais de 5.000	Almoço	>= 4,5	1
27	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
38	Feminino	Solteiro	Até 5.000	Almoço	>= 4,5	1
29	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
29	Feminino	Casado	Mais de 5.000	Almoço	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
26	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
33	Feminino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	1
25	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
20	Masculino	Outros	Mais de 5.000	Café da manhã	>= 4,5	1
24	Feminino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
28	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
25	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
41	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
24	Feminino	Solteiro	Mais de 5.000	Jantar	< 4,5	1
31	Masculino	Solteiro	Até 5.000	Café da manhã	< 4,5	0
25	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
28	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
24	Feminino	Casado	Até 5.000	Almoço	>= 4,5	1
23	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
24	Feminino	Casado	Até 5.000	Lanches	>= 4,5	0
28	Feminino	Casado	Mais de 5.000	Almoço	>= 4,5	1
33	Masculino	Casado	Mais de 5.000	Jantar	>= 4,5	1
24	Feminino	Solteiro	Mais de 5.000	Jantar	< 4,5	1
24	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
28	Feminino	Casado	Até 5.000	Lanches	< 4,5	0
20	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
21	Feminino	Solteiro	Até 5.000	Jantar	< 4,5	1
20	Feminino	Solteiro	Até 5.000	Café da manhã	< 4,5	0
26	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
31	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
25	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
28	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
